บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
13.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ECCRAD01,51602104,3900002072,3300009017,13.05.2024,25.04.2024,KR,2R10110,2R10110,2R10110R0413,199990000,,19201,,558,"74,688.90",,ค่ารักษาคนไข้ใน มารดานายวิชาลี ศรีสมบัติ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
13.05.2024,ต-ค่าเช่าเครื่องตกแต่งและเครื่องใช้สนง.,5,,ECNRAD01,51641105,3900002094,3300009070,01.05.2024,11.04.2024,KR,2Q30102,2Q30102,2Q30102R0413,199990000,,19201,,213,992.64,V7,บภน.1.1(ชม.),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
14.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,EMADAD01,51604101,3900002158,3300009198,14.05.2024,24.04.2024,KR,1H10200,1H10212,1H10212R0604,199990000,,10406,,0,"3,030.00",,วันที่10-11เมษายน 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
16.05.2024,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,5,,ECSRCS13,51603108,,3300009394,13.05.2024,13.05.2024,KR,2R20106,2R20106,2R20106R0113,199990000,,19201,,640,500,VX,,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
16.05.2024,ต-ค่าสวัสดิการอื่น-พนักงาน,5,,HLSSN01,51602199,,3300009449,16.05.2024,08.05.2024,KR,1D10200,1D10212,1D10212R0501,199990000,,18103,,0,"5,000.00",,เงินค่าเจ้าภาพงานศพ นายประดิษฐ์ ปิตตะเหล็ก,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
16.05.2024,ต-ค่าสวัสดิการอื่น-พนักงาน,5,,HLSSN01,51602199,3900002187,3300009462,16.05.2024,16.05.2024,KR,1D10200,1D10212,1D10212R0501,199990000,,18103,,0,"2,000.00",,จ่ายเงินค่าพวงหรีดงานศพนายประดิษฐ์ ปิตตะเหล็ก,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
17.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ERSCS104,51604101,3900002164,3300009482,17.05.2024,11.04.2024,KR,2R10107,2R10107,2R10107R0213,199990000,,19201,,324,"3,166.66",VX,ประชุมกกลุ่มขายและปฏิบัติการลูกค้าภาคกลาง29-30 เมย,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
17.05.2024,ต-ค่าสวัสดิการอื่น-พนักงาน,5,,ECNRCS02,51602199,,3300009503,17.05.2024,17.05.2024,KR,2Q30104,2Q30104,2Q30104R0113,199990000,,19201,,234,"5,000.00",VX,ค่าเจ้าภาพงานศพนายชวาลฯ บิดานายจักรเพชรฯ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
20.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ENERCS15,51604101,3900002224,3300009714,20.05.2024,20.05.2024,KR,2Q20204,2Q20204,2Q20204R0213,199990000,,19201,,595,"6,350.00",VX,เบิกค่าเดินทางเจรจาธุรกิจลูกค้าสปป.ลาว11-13มี.ค.67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
21.05.2024,ต-ค่าน้ำประปา,5,,EAMDFA01,51661101,3900002222,3300009788,21.05.2024,17.05.2024,KR,1H10200,1H10212,1H10212R0604,199990000,,10405,,0,350,D7,ค่าน้ำประปา พ.ค. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
21.05.2024,ต-ค่าน้ำประปา,5,,EAMDFA01,51661101,3900002222,3300009788,21.05.2024,17.05.2024,KR,1J10400,1J10413,1J10413R0403,199990000,,18103,,0,"2,212.50",D7,ค่าน้ำประปา พ.ค. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
15.05.2024,ต-ค่าน้ำดื่ม,5,,ECWRCS06,51662110,3900002144,3320005884,15.05.2024,07.05.2024,KQ,2R10206,2R10206,2R10206R0603,199990000,,19201,,365,216,VX,ค่าน้ำดื่ม ศ.กระทุ่มแบน เม.ย.67จำนสน 12 ถัง,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,บ-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,5,,EITSAD01,54601707,,3500004527,01.05.2024,02.04.2024,KM,1N10200,1N10207,1N10207N0415,199990000,,19201,,0,"-2,377.66",V7,หัก ค่าจ้าง,,,7001303,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS06,51604101,3300008481,3900001970,02.05.2024,02.05.2024,KZ,2Q30206,2Q30206,2Q30206R0403,199990000,,10202,,275,-700,VX,ค่าเดินทางประชุมติดตามงาน NTSP,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS12,51604101,3300008522,3900001974,06.05.2024,02.05.2024,KZ,2Q30205,2Q30205,2Q30205R0403,199990000,,19201,,625,-566,VX,,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ENERCS05,51602104,3300008708,3900002000,08.05.2024,22.04.2024,KZ,2Q10203,2Q10203,2Q10203R0213,199990000,,19201,,587,"-16,305.25",VX,นางจิณณ์ธิชา สินธุเทา,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่าสวัสดิการอื่น-พนักงาน,5,,HLSSN01,51602199,3300008690,3900002001,08.05.2024,30.04.2024,KZ,1J10400,1J10408,1J10408R0403,199990000,,18103,,0,"-5,000.00",,เบิกเงินเจ้าภาพงานศพบิดานายมนตรีฯ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
09.05.2024,ต-ค่าสื่อสารไปรษณีย์,5,,ERSAD301,51662107,3300008822,3900002031,08.05.2024,01.05.2024,KZ,2R20001,2R20006,2R20006R0213,199990000,,19201,,387,-101,VX,ลภก.3-เมย.67 ค่าไปรษณีย์,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
13.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ECCRAD01,51602104,3300008879,3900002052,09.05.2024,25.04.2024,KZ,2R10110,2R10110,2R10110R0413,199990000,,19201,,558,"-74,688.90",,ค่ารักษาคนไข้ใน มารดานายวิชาลี ศรีสมบัติ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
13.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ENERCS16,51602104,3300008873,3900002066,09.05.2024,09.05.2024,KZ,2Q10305,2Q10305,2Q10305R0413,199990000,,19201,,585,"-8,071.00",VX,P1000490  ตนเอง,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
13.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ECCRAD01,51602104,3300009017,3900002072,13.05.2024,25.04.2024,KZ,2R10110,2R10110,2R10110R0413,199990000,,19201,,558,"-74,688.90",,ค่ารักษาคนไข้ใน มารดานายวิชาลี ศรีสมบัติ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
14.05.2024,ต-ค่าเช่าเครื่องตกแต่งและเครื่องใช้สนง.,5,,ECNRAD01,51641105,3300009070,3900002094,01.05.2024,11.04.2024,KZ,2Q30102,2Q30102,2Q30102R0413,199990000,,19201,,213,-992.64,V7,บภน.1.1(ชม.),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
16.05.2024,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,5,,ECSRCS13,51603108,3300009007,3900002130,13.05.2024,13.05.2024,KZ,2R20106,2R20106,2R20106R0113,199990000,,19201,,640,"-2,000.00",VX,,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
16.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS04,51604101,3300008995,3900002131,02.05.2024,02.05.2024,KZ,2Q30202,2Q30202,2Q30202R0501,199990000,,19201,,627,-600,VX,ขอเบิกเบี้ยเลี้ยงร่วมประชุมติดตามงาน NTSP พิษณุฯ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
16.05.2024,ต-ค่าน้ำดื่ม,5,,ECWRCS06,51662110,3320005884,3900002144,15.05.2024,07.05.2024,KZ,2R10206,2R10206,2R10206R0603,199990000,,19201,,365,-216,VX,ค่าน้ำดื่ม ศ.กระทุ่มแบน เม.ย.67จำนสน 12 ถัง,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
17.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,EMADAD01,51604101,3300009198,3900002158,14.05.2024,24.04.2024,KZ,1H10200,1H10212,1H10212R0604,199990000,,10406,,0,"-3,030.00",,วันที่10-11เมษายน 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
17.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ERSCS104,51604101,3300009482,3900002164,17.05.2024,11.04.2024,KZ,2R10107,2R10107,2R10107R0213,199990000,,19201,,324,"-3,166.66",VX,ประชุมกกลุ่มขายและปฏิบัติการลูกค้าภาคกลาง29-30 เมย,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
20.05.2024,ต-ค่าสวัสดิการอื่น-พนักงาน,5,,HLSSN01,51602199,3300009462,3900002187,16.05.2024,16.05.2024,KZ,1D10200,1D10212,1D10212R0501,199990000,,18103,,0,"-2,000.00",,จ่ายเงินค่าพวงหรีดงานศพนายประดิษฐ์ ปิตตะเหล็ก,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
21.05.2024,ต-ค่าน้ำประปา,5,,EAMDFA01,51661101,3300009788,3900002222,21.05.2024,17.05.2024,KZ,1H10200,1H10212,1H10212R0604,199990000,,10405,,0,-350,D7,ค่าน้ำประปา พ.ค. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
21.05.2024,ต-ค่าน้ำประปา,5,,EAMDFA01,51661101,3300009788,3900002222,21.05.2024,17.05.2024,KZ,1J10400,1J10413,1J10413R0403,199990000,,18103,,0,"-2,212.50",D7,ค่าน้ำประปา พ.ค. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
21.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ENERCS15,51604101,3300009714,3900002224,20.05.2024,20.05.2024,KZ,2Q20204,2Q20204,2Q20204R0213,199990000,,19201,,595,"-6,350.00",VX,เบิกค่าเดินทางเจรจาธุรกิจลูกค้าสปป.ลาว11-13มี.ค.67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่าน้ำดื่ม,5,,EFAD0402,51662110,6410006511,6410006620,01.05.2024,30.04.2024,SC,2R10211,2R10211,2R10211R0603,199990000,,19201,,653,"-4,000.00",,ค่าใช้จ่ายค้างจ่าย น้ำดื่ม 04/67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410006508,6410006640,01.05.2024,30.04.2024,SC,2R10109,2R10109,2R10109R0401,199990000,,19201,,546,"-40,000.00",,ค่ารักษาพยาบาลคนไข้ใน นายสุทณ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410006508,6410006640,01.05.2024,30.04.2024,SC,2R10110,2R10110,2R10110R0413,199990000,,19201,,546,"-20,000.00",,ค่ารักษาพยาบาลคนไข้ใน นายณัฐพล,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410006508,6410006640,01.05.2024,30.04.2024,SC,2R10110,2R10110,2R10110R0413,199990000,,19201,,546,"-20,000.00",,ค่ารักษาพยาบาลคนไข้ใน นายสุพจน์,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410006508,6410006640,01.05.2024,30.04.2024,SC,2R10110,2R10110,2R10110R0413,199990000,,19201,,546,"-100,000.00",,ค่ารักษาพยาบาลคนไข้ใน นายวิชาลี,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410006509,6410006641,01.05.2024,30.04.2024,SC,2R10204,2R10204,2R10204R0213,199990000,,19201,,649,"-30,000.00",,ค่ารักษาพยาบาลคนไข้ในฯ(นายกิตติภพฯ),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่าล่วงเวลา-พนักงาน,5,,EFAD0402,51601102,6410006530,6410006660,01.05.2024,30.04.2024,SC,2R30102,2R30102,2R30102R0213,199990000,,18103,,575,"-4,315.00",,นายเจษฎา มากเจริญ (มี.ค.-เม.ย.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่าล่วงเวลา-พนักงาน,5,,EFAD0402,51601102,6410006531,6410006661,01.05.2024,30.04.2024,SC,2R30102,2R30102,2R30102R0213,199990000,,19201,,574,"-6,300.00",,นายพรชัย โหลแก้ว (มี.ค.-เม.ย.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่าล่วงเวลา-ลูกจ้าง,5,,EFAD0402,51601202,6410006531,6410006661,01.05.2024,30.04.2024,SC,2R30102,2R30102,2R30102R0213,199990000,,19201,,574,"-5,900.00",,นายกรีฑา  พลจินดา (มี.ค.-เม.ย.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าน้ำมันเชื้อเพลิง,5,,ECWRCS01,51625201,6410007268,6410007354,01.05.2024,30.04.2024,SC,2R10203,2R10203,2R10203R0213,199990000,,19201,,344,"-81,800.00",VX,ค่าน้ำมันรถยนต์เช่า,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าน้ำประปา,5,,EFAD0402,51661101,6410007043,6410007739,01.05.2024,30.04.2024,SC,1H10200,1H10212,1H10212R0604,199990000,,10405,,0,-350,,ปมก. คจ. ค่าน้ำประปา มท55811-1/3216(พ.ค.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าน้ำประปา,5,,EFAD0402,51661101,6410007043,6410007739,01.05.2024,30.04.2024,SC,1J10400,1J10413,1J10413R0403,199990000,,18103,,0,"-2,618.75",,ปมก. คจ. ค่าน้ำประปา มท55811-1/3216(พ.ค.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410007811,6410008092,01.05.2024,30.04.2024,SC,1P20200,1P20201,1P20201R0413,199990000,,19201,,,"-30,000.00",,ปมก.คชจ.คจ. เม.ย. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410008112,6410008136,01.05.2024,30.04.2024,SC,1J10400,1J10410,1J10410R0503,199990000,,18103,,0,"-20,000.00",,ปมก.คชจ.คจ. เม.ย. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410008313,6410008335,01.05.2024,30.04.2024,SC,1P20200,1P20201,1P20201R0413,199990000,,19201,,,"30,000.00",,ปมก.คชจ.คจ. เม.ย. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,EFAD0402,51602104,6410008316,6410008338,01.05.2024,30.04.2024,SC,1J10400,1J10410,1J10410R0503,199990000,,18103,,0,"20,000.00",,ปมก.คชจ.คจ. เม.ย. 67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,บ-ค่าซ่อมแซมและบำรุงรักษา-คอมพิวเตอร์,5,,EITSAD02,54642107,,8100004388,07.05.2024,30.04.2024,WE,1N10200,1N10207,1N10207N0416,199990000,,19201,,,"400,583.33",,,1.08013E+11,0,7001379,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10202,2R10202,2R10202R0603,199990000,,19201,,,"192,510.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10203,2R10203,2R10203R0603,199990000,,19201,,,"262,845.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10204,2R10204,2R10204R0603,199990000,,19201,,,"114,839.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10205,2R10205,2R10205R0603,199990000,,19201,,,"264,195.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10206,2R10206,2R10206R0603,199990000,,19201,,,"245,824.60",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10207,2R10207,2R10207R0603,199990000,,19201,,,"31,347.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10208,2R10208,2R10208R0603,199990000,,19201,,,"294,146.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004509,01.05.2024,31.03.2024,WE,2R10211,2R10211,2R10211R0603,199990000,,19201,,,"207,495.00",,,,,7001383,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),5,,ECWRIM02,51601702,,8100004517,01.05.2024,31.03.2024,WE,2R10203,2R10203,2R10203R0603,199990000,,19201,,,"55,485.00",,,,,7000659,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
